model,ref_rmse,prod_rmse,rmse_change_%
XGBoost,116.34544972569834,123.74444431973502,6.3595049153025816
GradientBoosting,96.9634855771683,104.19838055805889,7.4614633929725045
RandomForest,49.893561593492095,52.2150492669149,4.652880250035334
